id,category,question,option_a,option_b,option_c,option_d,correct
1,Führung,In deiner Rolle als Führungskraft: du remote führst und Missverständnisse zunehmen. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Beteiligte einbeziehen, Ziele klären, dann entscheiden.",D
2,Führung,In deiner Rolle als Führungskraft: die Leistung im Team seit Wochen sinkt. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Impact/Dringlichkeit, Engpass zuerst.","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",B
3,Führung,In deiner Rolle als Führungskraft: zwei Teammitglieder unterschiedliche Prioritäten setzen. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) konkret, zeitnah, verhaltensbezogen.",D
4,Führung,In deiner Rolle als Führungskraft: eine erfahrene Fachkraft die Prozesse ignoriert. Was ist der sinnvollste erste Schritt?,"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",C) Reifegrad einschätzen und Führungsstil anpassen.,D) Die Verantwortung vollständig an eine andere Person abgeben,C
5,Führung,In deiner Rolle als Führungskraft: ein neues Team übernimmt und die Rollen unklar sind. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) konkret, zeitnah, verhaltensbezogen.",D
6,Führung,In deiner Rolle als Führungskraft: ein High Performer toxisches Verhalten zeigt. Was ist der sinnvollste erste Schritt?,"A) Beteiligte einbeziehen, Ziele klären, dann entscheiden.","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",A
7,Führung,In deiner Rolle als Führungskraft: du remote führst und Missverständnisse zunehmen. Was ist der sinnvollste erste Schritt? (Variante 7),"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Reifegrad einschätzen und Führungsstil anpassen.,"D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
8,Führung,In deiner Rolle als Führungskraft: ein Projekt in Verzug gerät und der Sponsor Druck macht. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) konkret, zeitnah, verhaltensbezogen.",D) Die Verantwortung vollständig an eine andere Person abgeben,C
9,Führung,In deiner Rolle als Führungskraft: du remote führst und Missverständnisse zunehmen. Was ist der sinnvollste erste Schritt? (Variante 9),"A) konkret, zeitnah, verhaltensbezogen.",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Das Thema vertagen, bis es sich von selbst beruhigt",A
10,Führung,In deiner Rolle als Führungskraft: zwei Teammitglieder unterschiedliche Prioritäten setzen. Was ist der sinnvollste erste Schritt? (Variante 10),A) Reifegrad einschätzen und Führungsstil anpassen.,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Das Thema vertagen, bis es sich von selbst beruhigt",A
11,Führung,In deiner Rolle als Führungskraft: ein wichtiger Kunde kurzfristig Änderungen verlangt. Was ist der sinnvollste erste Schritt?,"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B) Reifegrad einschätzen und Führungsstil anpassen.,"C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B
12,Führung,In deiner Rolle als Führungskraft: die Leistung im Team seit Wochen sinkt. Was ist der sinnvollste erste Schritt? (Variante 12),"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",D) Reifegrad einschätzen und Führungsstil anpassen.,D
13,Führung,In deiner Rolle als Führungskraft: eine erfahrene Fachkraft die Prozesse ignoriert. Was ist der sinnvollste erste Schritt? (Variante 13),"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) SMART Erwartungen, Verantwortlichkeiten, Deadlines.",D
14,Führung,In deiner Rolle als Führungskraft: ein neues Team übernimmt und die Rollen unklar sind. Was ist der sinnvollste erste Schritt? (Variante 14),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","D) Impact/Dringlichkeit, Engpass zuerst.",D
15,Führung,"In deiner Rolle als Führungskraft: ein Teammitglied ständig zusagt, aber nicht liefert. Was ist der sinnvollste erste Schritt?",A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) konkret, zeitnah, verhaltensbezogen.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
16,Führung,"In deiner Rolle als Führungskraft: ein Teammitglied ständig zusagt, aber nicht liefert. Was ist der sinnvollste erste Schritt? (Variante 16)","A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Impact/Dringlichkeit, Engpass zuerst.",D
